Type,capacity,formation,imp,k,dcrfu25,dcr25,calendar60-30d,calendar60-60d,calendar60-120d,volume-80d,cycle45-300,cycle45-600,cycle45-900
Mean,1972.02005388,1265.54891094,7.31905318012,0.0901202394118,0.854068907824,0.0223858591765,0.914954613294,0.869895081588,0.489732689706,0.281520747824,0.968408199824,0.926514957235,0.780803257765
Range,1870.444444~1999.036364,1148.8~1325.414583,6.937217391~7.929173913,0.046447604~0.205877913,0.720269077~1.189148217,0.020916736~0.024086529,0.819075118~0.952974953,0.758558636~0.929395917,0.0~0.900269533,0.0~0.391920095,0.912499862~0.981587792,0.83058758~0.958952951,0.0~0.938742741
61422519,1978.804167,1291.186047,7.7095,0.046447604,1.189148217,0.021998461,0.946846523,0.92843342,0.900269533,0.124031008,0.97799067,0.951431088,0.930799085
61422520,1996.117778,1325.414583,7.790125,0.047650313,1.127552425,0.021786064,0.939815334,0.918485506,0.876133377,0.193500298,0.980393738,0.958952951,0.938742741
61422525,1986.9,1314.625,7.459083333,0.047036,1.135085624,0.024086529,0.952974953,0.929395917,0.881650401,0.143112701,0.975772361,0.950148696,0.922761736
61422527,1992.333333,1293.348649,7.114291667,0.092226667,0.740496912,0.022175228,0.91290214,0.847617502,0.0,0.380739416,0.966291051,0.920111025,0.836039267
61422529,1974.102128,1148.8,7.203875,0.067568833,0.988751708,0.02267767,0.912126805,0.862590592,0.782912754,0.279964222,0.964227575,0.921858419,0.828414732
61422532,1981.885417,1263.760417,7.747,0.091460646,0.748926844,0.023731625,0.904254752,0.842009223,0.0,0.390131187,0.964889037,0.917492544,0.838703905
61422533,1973.51,1286.695652,7.299333333,0.087646178,0.770775095,0.02106476,0.919056185,0.857668644,0.0,0.365533691,0.97705516,0.934843488,0.885851917
61422535,1870.444444,1169.73913,7.929173913,0.205877913,0.830917745,0.020916736,0.819075118,0.758558636,0.0,0.0,0.912499862,0.83058758,0.0
61422537,1975.082979,1270.84375,7.193041667,0.087838042,0.720269077,0.023316765,0.938210496,0.901769374,0.824622131,0.366726297,0.977830431,0.946718921,0.903136001
61422538,1960.988889,1240.325,7.141791667,0.075296396,0.794849808,0.022175228,0.933884938,0.909557555,0.83617783,0.271615981,0.981587792,0.951738802,0.911437459
61422539,1977.266667,1251.045833,7.364978723,0.071185978,0.759592379,0.022687373,0.930353238,0.903003112,0.826432835,0.216457961,0.980275972,0.952753768,0.931800301
61422540,1962.095652,1249.604167,7.175333333,0.061828396,0.768655633,0.02267767,0.936648035,0.913527418,0.845821244,0.188133572,0.977006396,0.951423163,0.927594591
61422541,1964.497826,1292.369565,6.937217391,0.094809978,0.746445377,0.022169395,0.901516055,0.848088328,0.0,0.391920095,0.974289006,0.924816231,0.84176376
61422545,1992.333333,1293.348649,6.96412766,0.085736723,0.720736444,0.020916736,0.934268695,0.892593297,0.800747093,0.334973166,0.978035125,0.950894129,0.908247475
61422547,1999.036364,1286.702128,7.009391304,0.089034804,0.742238581,0.023316765,0.913984361,0.860012703,0.750688527,0.388342278,0.971182626,0.926318545,0.855914771
61422548,1958.956522,1292.770833,7.040723404,0.147904766,0.841440818,0.022175228,0.87906473,0.810368748,0.0,0.390876565,0.96209648,0.895743633,0.812447641
61422549,1979.985417,1243.752083,7.344916667,0.132494833,0.893288746,0.022687373,0.879246068,0.804536412,0.0,0.359794275,0.941516115,0.86492129,0.0
